Price,Close,High,Low,Open,Volume
Ticker,SAN.MC,SAN.MC,SAN.MC,SAN.MC,SAN.MC
Date,,,,,
2000-01-03,2.6250662803649902,2.6619738189075557,2.595078619353804,2.652747061358738,8797337
2000-01-04,2.5627849102020264,2.6066128445029606,2.539717629869683,2.592772577973036,8811013
2000-01-05,2.5005016326904297,2.54663616439251,2.4797409917550755,2.514341890531636,9333517
2000-01-06,2.5005016326904297,2.5005016326904297,2.5005016326904297,2.5005016326904297,0
2000-01-07,2.611224889755249,2.618145019146627,2.5166489408278783,2.518955565900484,9603132
2000-01-10,2.58815860748291,2.6342931598840122,2.5650910771087005,2.6342931598840122,6747710
2000-01-11,2.5005016326904297,2.5881574462632186,2.456673217556946,2.5835439422583018,15293569
2000-01-12,2.4774348735809326,2.4774348735809326,2.4359135789574453,2.472821113985409,12052290
2000-01-13,2.456674098968506,2.4935821442498005,2.424379813521009,2.4912755185065376,11043549
2000-01-14,2.521263837814331,2.5397178671432394,2.449754855425402,2.4682088847543104,15745712
2000-01-17,2.4543678760528564,2.565091267548513,2.433607224261566,2.5604780153048283,31619384
2000-01-18,2.329803466796875,2.445140073274799,2.315962952016198,2.445140073274799,20093136
2000-01-19,2.329803466796875,2.332110092173523,2.2767485413980073,2.3090428217126573,20666919
2000-01-20,2.3782453536987305,2.4174597720077915,2.343644441221379,2.352871198711152,11769910
2000-01-21,2.3044304847717285,2.415153896615814,2.2905902171497954,2.3943932410091904,18255137
2000-01-24,2.329803466796875,2.375938261892202,2.306736196336009,2.329803466796875,9894501
2000-01-25,2.329803466796875,2.334416971723767,2.2928956815553323,2.306736196336009,15844637
2000-01-26,2.389779806137085,2.3966999401576814,2.329804718219872,2.359792389265344,22642896
2000-01-27,2.3966991901397705,2.4174598398784997,2.364404902584782,2.4151532139847083,50176740
2000-01-28,2.322882890701294,2.4082318258616238,2.313655882618295,2.4082318258616238,13102872
2000-01-31,2.3356406688690186,2.3704316035847923,2.3078078699824944,2.3425988046982686,49721466
2000-02-01,2.3634731769561768,2.6209269822263286,2.326362697817007,2.6209269822263286,11642759
2000-02-02,2.3634731769561768,2.3866671305795983,2.3310015396555896,2.384347837445053,10673286
2000-02-03,2.3959453105926514,2.4214585626358573,2.342599001752148,2.3704318029799007,11396777
2000-02-04,2.4168193340301514,2.4446521278716355,2.391305833188176,2.4237774685981535,13899128
2000-02-07,2.491039991378784,2.491039991378784,2.428416021014978,2.4446518367867673,12468731
2000-02-08,2.532789945602417,2.5490257654809194,2.4632075683293957,2.4956794636559105,12234462
2000-02-09,2.486401319503784,2.5513448492536095,2.4492910961745835,2.5513448492536095,10918965
2000-02-10,2.4353740215301514,2.48640075877751,2.4029023917628964,2.4655263587009304,9146146
2000-02-11,2.303168535232544,2.4376936584988376,2.284613169561698,2.4353743655747158,17391741
2000-02-14,2.4145002365112305,2.509596123075886,2.3078078827827095,2.393625573338176,26742175
2000-02-15,2.4539310932159424,2.530471899276293,2.423778987479876,2.4469729542875633,21321476
2000-02-16,2.5768582820892334,2.5838164168300746,2.4724849831292084,2.511915009656099,33672600
2000-02-17,2.5745396614074707,2.6162887363253255,2.5536649961637687,2.558303839058986,16808772
2000-02-18,2.5095958709716797,2.5861361245375947,2.5095958709716797,2.576858440599454,18340717
2000-02-21,2.5536646842956543,2.5699005046613284,2.4817630115551568,2.4933602451616537,8925338
2000-02-22,2.5188729763031006,2.586135792874137,2.4910401836276415,2.551344610352714,11592996
2000-02-23,2.5745396614074707,2.574539661407471,2.4933605496650455,2.5397484674781174,9405260
2000-02-24,2.5049569606781006,2.5722195284712397,2.49335998385649,2.551344867964544,11082867
2000-02-25,2.5211920738220215,2.5606218350955308,2.4933592861248726,2.511914392733165,9944867
2000-02-28,2.507277011871338,2.5420682084245234,2.4887218944606557,2.528151678689335,9537525
2000-02-29,2.5281503200531006,2.5745384720050137,2.5072756644532106,2.518872638548831,7498301
2000-03-01,2.5235118865966797,2.5443865455657466,2.4979986416962405,2.5397477040649012,9141201
2000-03-02,2.5629425048828125,2.5699008972235355,2.530471114760854,2.5374292515320196,14128833
2000-03-03,2.537428617477417,2.6093300276648357,2.528150933721139,2.586136073843635,16796144
2000-03-06,2.5281503200531006,2.579177057187717,2.5281503200531,2.579177057187717,12355814
2000-03-07,2.5188729763031006,2.5629415860033666,2.509595549124258,2.532789500425563,10034784
2000-03-08,2.539747953414917,2.56294190762683,2.504957022097047,2.507276315290439,9208349
2000-03-09,2.5583035945892334,2.5861363937313033,2.528151246436435,2.5420677737922324,14804511
2000-03-10,2.595414638519287,2.595414638519287,2.5443878666549726,2.5838176565305613,59945035
2000-03-13,2.5930941104888916,2.593094110488891,2.593094110488891,2.593094110488891,0
2000-03-14,2.6186084747314453,2.6186084747314453,2.565262160936924,2.6093307882707717,23476575
2000-03-15,2.6394824981689453,2.65571806216372,2.574539219911823,2.581497355276656,33445529
2000-03-16,2.6835501194000244,2.6905082521839994,2.651078492315593,2.662675465478688,16516306
2000-03-17,2.7508137226104736,2.7832853591510047,2.695147877419932,2.7160227929896847,24520456
2000-03-20,2.748495101928711,2.7809664908436353,2.7368978669817867,2.7368978669817867,20072443
2000-03-21,2.7137019634246826,2.7531319754467147,2.6557168470629917,2.7276187389258575,11023983
2000-03-22,2.685870409011841,2.7484946495963185,2.660356905238759,2.713703206050882,12947772
2000-03-23,2.6394824981689453,2.718342302725239,2.6325241072346066,2.690509250126896,10456218
2000-03-24,2.6742727756500244,2.6974667248990856,2.620926487921629,2.637162303509861,5547595
2000-03-27,2.64875864982605,2.6742721412896633,2.6209258662154635,2.646439357679077,6323555
2000-03-28,2.695148468017578,2.711384289845658,2.6325244742937524,2.6371633170402813,7847503
2000-03-29,2.6696345806121826,2.699786926386964,2.6464406257512763,2.669634580612182,5076510
2000-03-30,2.6348421573638916,2.6626749385613677,2.6139675075734443,2.64411958071681,8482743
2000-03-31,2.60469126701355,2.6325240635808504,2.6046912670135494,2.6116494022629992,25821725
2000-04-03,2.609330415725708,2.6371632155643554,2.581497615887061,2.6046915731576785,7839585
2000-04-04,2.6371636390686035,2.6905099538135766,2.6162889719449556,2.6186085213862347,21091401
2000-04-05,2.5930941104888916,2.667315066584034,2.565261315845584,2.6418015650070505,12807044
2000-04-06,2.5188729763031006,2.5977327685247897,2.5165536834007565,2.5977327685247897,21512475
2000-04-07,2.56990122795105,2.576859365617677,2.532790734446388,2.549026559381578,11061083
2000-04-10,2.61628794670105,2.6186074952333684,2.546705835412534,2.576858177346364,8624985
2000-04-11,2.5768582820892334,2.6186076016732436,2.5745389890321144,2.5745389890321144,8956274
2000-04-12,2.6000518798828125,2.6348430599749992,2.5698997964103283,2.6186072440838313,7841431
2000-04-13,2.6626760959625244,2.674273071871619,2.5907746919844556,2.5954132778925163,11700748
2000-04-14,2.6209261417388916,2.690508235864828,2.590774062811612,2.6557170610171554,11107265
2000-04-17,2.5814974308013916,2.5930944086052317,2.4887213528011594,2.5281511284481173,27652226
2000-04-18,2.5606226921081543,2.611649444036124,2.521192917637927,2.597733173314635,9282542
2000-04-19,2.530470609664917,2.5791778129104066,2.5304706096649174,2.5745392263685556,15705839
2000-04-20,2.60469126701355,2.6186077930819507,2.5281510125610973,2.544386831856148,22860411
2000-04-21,2.5583035945892334,2.5583035945892334,2.5583035945892334,2.5583035945892334,0
2000-04-24,2.5583035945892334,2.5583035945892334,2.5583035945892334,2.5583035945892334,0
2000-04-25,2.6371636390686035,2.644121776253295,2.5629426571999825,2.581498030451924,11835006
2000-04-26,2.6557183265686035,2.6789125393764524,2.6232469397766778,2.664996011691743,8248167
2000-04-27,2.590775489807129,2.6557185237832046,2.56758127527687,2.6557185237832046,9681403
2000-04-28,2.6603569984436035,2.6673153896242785,2.593094424540188,2.609330244679238,24653673
2000-05-01,2.5583035945892334,2.5583035945892334,2.5583035945892334,2.5583035945892334,0
2000-05-02,2.7256836891174316,2.7256836891174316,2.653403069068904,2.6697242590603834,8099687
2000-05-03,2.6114349365234375,2.7163585056659807,2.606771626818823,2.6837155946511886,9926485
2000-05-04,2.6659491062164307,2.6917411046109665,2.619054845527305,2.6237440649088617,10449404
2000-05-05,2.6143648624420166,2.6940851935476404,2.6143648624420166,2.6612591140667026,7258987
2000-05-08,2.6307787895202637,2.6401574879930636,2.6026421773833994,2.6190552226598394,7733630
2000-05-09,2.5862295627593994,2.5862295627594,2.5862295627594,2.5862295627594,0
2000-05-10,2.471336603164673,2.567470227698543,2.4572681733454,2.546367712149199,15409929
2000-05-11,2.529956102371216,2.529956102371216,2.415064764868994,2.4385119027872046,11701615
2000-05-12,2.5135421752929688,2.553402868304148,2.471337389130909,2.520576779978538,6698074
2000-05-15,2.4900965690612793,2.527612416833151,2.461959941591748,2.518233454890183,11258936
2000-05-16,2.5182313919067383,2.551057473455998,2.506507569902722,2.529954955551594,9471107
2000-05-17,2.4267871379852295,2.52526563710508,2.4150635748031197,2.5205761601604064,15645770
2000-05-18,2.4525792598724365,2.478371257950271,2.426787520153794,2.438511085182121,14660202
2000-05-19,2.4056851863861084,2.4549243183404448,2.356446054431772,2.4502348402934775,12520528
2000-05-22,2.3681697845458984,2.443200921780574,2.358790827801757,2.403340484797586,8095259
2000-05-23,2.379892349243164,2.4080289492694495,2.344721663800088,2.400994863852658,8648401
2000-05-24,2.3775486946105957,2.398651217690985,2.354101303210594,2.356446171530206,8304255
