Date,Close,High,Low,Open,Volume,Price,Return,LogReturn,Volatility,Weekday,Month
2000-01-03,4.115111827850342,4.1557409145486295,4.106405780174198,4.135426515234422,8244257,4.115111827850342,,,0.012014188810229774,0,1
2000-01-04,4.0077338218688965,4.088991379028983,3.993223749568688,4.062872960818877,8522096,4.0077338218688965,-0.02609358152911667,-0.026440059554224675,0.02398253528133487,1,1
2000-01-05,3.917770147323608,3.990321366328758,3.900357774102856,3.97000669084646,12159826,3.917770147323608,-0.02244751736115458,-0.02270329788478339,0.023065471794211163,2,1
2000-01-06,3.917770147323608,3.917770147323609,3.917770147323609,3.917770147323609,0,3.917770147323608,0.0,0.0,0.0,3,1
2000-01-07,3.967105865478516,4.001930331757413,3.926477081428328,4.001930331757413,62261944,3.967105865478516,0.012592805677640762,0.012514175726576666,0.01921652635793253,4,1
2000-01-10,3.9032604694366455,4.010636749615416,3.8974564396117737,4.010636749615416,58740351,3.9032604694366455,-0.01609369606126443,-0.016224606038010826,0.02903953174520048,0,1
2000-01-11,3.8249051570892334,3.894554378368445,3.787178675606601,3.888750348612621,6761292,3.8249051570892334,-0.020074323238469693,-0.020278550232775427,0.028352425897794603,1,1
2000-01-12,3.812411308288574,3.850447733476369,3.774374883100779,3.850447733476369,8266754,3.812411308288574,-0.00326644669280296,-0.003271793175643596,0.020155086002769655,2,1
2000-01-13,3.718785047531128,3.818264904427168,3.686600567333024,3.803635436827486,9372669,3.718785047531128,-0.02455827904871999,-0.024864863449636995,0.03571429415511459,3,1
2000-01-14,3.79193115234375,3.800708656460695,3.724636082811071,3.745116925750608,8538333,3.79193115234375,0.019669355415200318,0.019478413386882953,0.02042416277947078,4,1
2000-01-17,3.7568199634552,3.818263649085984,3.748042460041793,3.818263649085984,6825078,3.7568199634552,-0.009259447884977567,-0.009302583050907132,0.01873543050614428,0,1
2000-01-18,3.677822828292847,3.753895416041619,3.6368602635190777,3.7480434551114734,9698972,3.677822828292847,-0.021027660609452825,-0.021251890793016676,0.03218027200453844,1,1
2000-01-19,3.671970844268799,3.671970844268799,3.598824092227981,3.6105274331460433,13027455,3.671970844268799,-0.0015911544131571587,-0.0015924216437585151,0.020325181272067644,2,1
2000-01-20,3.666117191314697,3.704153609598387,3.631006897112496,3.6865983172802106,9459285,3.666117191314697,-0.0015941447256418995,-0.0015954167263602741,0.02014502163134417,3,1
2000-01-21,3.590045213699341,3.657340565425754,3.578341876309858,3.636859144125716,6786146,3.590045213699341,-0.020750012518851335,-0.02096831922031831,0.02207689814070049,4,1
2000-01-24,3.6076018810272217,3.669045006537488,3.59882437464985,3.669045006537488,5863878,3.6076018810272217,0.004890374990511592,0.004878455949994349,0.019512103002934208,0,1
2000-01-25,3.686598300933838,3.733412219951968,3.5929704628975787,3.604673797435036,9429700,3.686598300933838,0.021897211086973734,0.021660910487546096,0.0390879241854744,1,1
2000-01-26,3.8007092475891113,3.818264548987652,3.7012293999535792,3.745117508232781,9120798,3.8007092475891113,0.030952910336438988,0.030483530215254354,0.0316206147707409,2,1
2000-01-27,3.94992733001709,3.993815130708675,3.821188600222739,3.8416697287770463,13662088,3.94992733001709,0.039260588671083285,0.03850948786087287,0.045176134586990484,3,1
2000-01-28,3.935298442840576,4.011371305721085,3.832893068025779,4.011371305721085,16119882,3.935298442840576,-0.0037035838774407415,-0.0037104591248291307,0.0465648883304839,4,1
2000-01-31,3.876782178878784,3.952854765446644,3.832893779538399,3.938225298999849,9868382,3.876782178878784,-0.014869587354486291,-0.014981247949085546,0.03129775903226105,0,1
2000-02-01,3.929445743560791,3.9616304972462544,3.8650768170582177,3.929445743560792,9530743,3.929445743560791,0.01358434966218236,0.013492909556518544,0.024981050767711645,1,2
2000-02-02,3.91774320602417,3.938224337877547,3.8592256449524873,3.938224337877547,7648463,3.91774320602417,-0.0029781649373319397,-0.002982608495154024,0.020470089130026105,2,2
2000-02-03,3.94992733001709,3.993815130708675,3.8650769817827015,3.926520077011434,7766488,3.94992733001709,0.008214965172661515,0.008181406012550102,0.033308042642554374,3,2
2000-02-04,3.891411304473877,3.9938166969717512,3.876782128650925,3.9938166969717512,10516943,3.891411304473877,-0.014814456230251682,-0.014925286239929721,0.03018858538783889,4,2
2000-02-07,3.818265438079834,3.914819182603126,3.809487640119481,3.9001897129587846,8135156,3.818265438079834,-0.01879674510631879,-0.01897564934517077,0.02764979242204381,0,2
2000-02-08,3.964557409286499,3.964557409286499,3.771449996395528,3.815337807151813,13714517,3.964557409286499,0.03831372479966544,0.03759797876987489,0.05120243224105552,1,2
2000-02-09,3.8680050373077393,3.979188544769226,3.853375857721526,3.979188544769226,9070278,3.8680050373077393,-0.024353884182026886,-0.024655344571410304,0.032649990993116364,2,2
2000-02-10,3.809485912322998,3.8621515144610954,3.80363424329304,3.8328928788770673,8404876,3.809485912322998,-0.015129019848813985,-0.015244631007367695,0.015384568395670262,3,2
2000-02-11,4.102072715759277,4.148886644031964,3.745116294854386,3.815337187263416,24338356,4.102072715759277,0.0768047999573418,0.07399813751107859,0.1078124996364837,4,2
2000-02-14,4.578991889953613,4.9271709677787365,4.271775381181593,4.3888105459307205,59647471,4.578991889953613,0.11626297416964726,0.10998647613734978,0.15342463685809674,0,2
2000-02-15,4.461956024169922,4.6521376039887015,4.44440072545769,4.6521376039887015,23093519,4.461956024169922,-0.025559308379748402,-0.02589162220443951,0.046741257452570996,1,2
2000-02-16,4.4795098304748535,4.549731006481549,4.435622031121939,4.476583996546938,19374515,4.4795098304748535,0.003934105627631634,0.003926387270685261,0.025725585849961905,2,2
2000-02-17,4.4795098304748535,4.520472086334033,4.438547574615675,4.438547574615675,10019217,4.4795098304748535,0.0,0.0,0.01845750447441175,3,2
2000-02-18,4.485362529754639,4.505843662393932,4.423919422271004,4.464881397115344,13772503,4.485362529754639,0.0013065490424797321,0.0013056962500088338,0.018518474751258694,4,2
2000-02-21,4.459029197692871,4.476584493643952,4.388808594756972,4.388808594756972,10726790,4.459029197692871,-0.005870948421020539,-0.005888250190467491,0.019999937794471328,0,2
2000-02-22,4.397587299346924,4.447326785672404,4.388809794189656,4.388809794189656,14620960,4.397587299346924,-0.013779209693835948,-0.013875024187219257,0.013333225686886246,1,2
2000-02-23,4.517548084259033,4.529251715150664,4.397587392399871,4.400512937079908,14342436,4.517548084259033,0.02727877282389013,0.026913337952412054,0.029940126483521803,2,2
2000-02-24,4.584841251373291,4.657987970033305,4.505842574490503,4.535101494301849,17306014,4.584841251373291,0.01489594927583271,0.01478609421019475,0.03376624749478867,3,2
2000-02-25,4.593620300292969,4.646285908997696,4.576065291014242,4.593620300292969,10362673,4.593620300292969,0.0019147988857952658,0.0019129679952276663,0.015345195821690288,4,2
2000-02-28,4.491215705871582,4.5351038176383325,4.441475632884093,4.52340018563118,7457895,4.491215705871582,-0.022292786022139355,-0.02254502597890207,0.021080422925441423,0,2
2000-02-29,4.418067932128906,4.52632527603097,4.418067932128906,4.5146216459501325,8498634,4.418067932128906,-0.01628685383493078,-0.016420942554481684,0.02450332262091272,1,2
2000-03-01,4.461956024169922,4.473659363021905,4.391734829320996,4.43269709617145,9312142,4.461956024169922,0.009933774834437026,0.009884759232541925,0.01865425324724684,2,3
2000-03-02,4.444401741027832,4.4707345498962425,4.359551353225149,4.461957043751547,7597565,4.444401741027832,-0.003934212494923761,-0.003941971866933155,0.02550335749316064,3,3
2000-03-03,4.461956024169922,4.461956024169922,4.377105655756017,4.461956024169922,7755245,4.461956024169922,0.003949751657245537,0.00394197186693315,0.019385040044058433,4,3
2000-03-06,4.473660945892334,4.5936216637409375,4.4034400166321,4.535104367907923,11462949,4.473660945892334,0.002623271421548612,0.0026198366506526346,0.04318933524483318,0,3
2000-03-07,4.470733642578125,4.511695910475551,4.4209935798831,4.453178343417191,9774752,4.470733642578125,-0.0006543417906752502,-0.000654555965698971,0.02051627738279815,1,3
2000-03-08,4.505843639373779,4.520473102736889,4.406364101720515,4.444400532204055,8594927,4.505843639373779,0.007853296483887107,0.007822619854826494,0.025896407646344842,2,3
2000-03-09,4.485362529754639,4.505843662393932,4.426844966437479,4.505843662393932,9151090,4.485362529754639,-0.004545455026483625,-0.004555817019086276,0.01784537216807647,3,3
2000-03-10,4.397587299346924,4.517547988667717,4.368328367954113,4.485363222222484,11147673,4.397587299346924,-0.01956926108546153,-0.01976327437768673,0.03415943311594269,4,3
2000-03-13,4.394659996032715,4.394659996032715,4.394659996032715,4.394659996032715,0,4.394659996032715,-0.0006656612171505039,-0.0006658828679468639,0.0,0,3
2000-03-14,4.324440002441406,4.324440002441406,4.248367133894912,4.324440002441406,6665918,4.324440002441406,-0.015978481533201583,-0.016107513808425244,0.017906378179879768,1,3
2000-03-15,4.251293182373047,4.315662419812786,4.251293182373047,4.315662419812786,5468445,4.251293182373047,-0.01691474966170503,-0.017059437937864203,0.015141095821532726,2,3
2000-03-16,4.467806816101074,4.476584609520935,4.283477220363071,4.318587522739856,12188949,4.467806816101074,0.0509288878559937,0.0496744281936829,0.0450819227518842,3,3
2000-03-17,4.494140148162842,4.532176579810684,4.420993409976746,4.50584377729843,9163603,4.494140148162842,0.005894017612146474,0.005876715841679583,0.02514891100788192,4,3
2000-03-20,4.459029197692871,4.479510327896763,4.409289434526652,4.450251694934437,16836160,4.459029197692871,-0.007812606930899468,-0.007843285233906755,0.015925671111597043,0,3
2000-03-21,4.508770942687988,4.517548448739166,4.406365253252639,4.441475567891672,7230397,4.508770942687988,0.011155285778539747,0.011093524463761122,0.025232405644188275,1,3
2000-03-22,4.529251575469971,4.543880750590479,4.461956498612767,4.508770439866971,11605370,4.529251575469971,0.004542398148479121,0.004532112593637805,0.01836061198785394,2,3
2000-03-23,4.497066497802734,4.549732395891009,4.4326972604288,4.549732395891009,5621286,4.497066497802734,-0.007106047683804517,-0.007131415890541697,0.02640269086431757,3,3
2000-03-24,4.488288402557373,4.51462120462224,4.444400592738761,4.497066196868495,3848057,4.488288402557373,-0.0019519602944831904,-0.001953867851700311,0.015799793564559645,4,3
